Drug.Name,Synonyms,ChEMBL ID,IDs,referenced_datasets,MOA,repurposing_target,Indication,Disease Area,Phase(RepHub),merge_issues,Type,Phase(ChEMBL),Inchi Key,SMILES
JAKAFI,JAKAFI,CHEMBL1795071,GDSC1:206;GDSC2:1507,gdsc,,,,,,,Small molecule,Approved,JFMWPOCYMYGEDM-XFULWGLBSA-N,N#CC[C@H](C1CCCC1)N1CC(-C2NCNC3[NH]CCC23)CN1.O=P(O)(O)O
JD-5037,JD-5037,,BRD:BRD-K00003271-001-01-9,rep_single_dose,CANNABINOID RECEPTOR ANTAGONIST,,,,,,,NA,,
OPNURASIB,JDQ-443;NVP-JDQ443;OPNURASIB,CHEMBL5077861,BRD:BRD-K00126788-001-01-9,oncref_2,INHIBITOR OF KRAS-G12C,KRAS,,,,,Small molecule,Phase 3,AZUYLZMQTIKGSC-UHFFFAOYSA-N,C=CC(=O)N1CC2(CC(N3NC(-C4CCC5C(CNN5C)C4)C(-C4C(CL)C(C)CC5[NH]NCC45)C3C)C2)C1
JDTIC,JDTIC,CHEMBL415247,BRD:BRD-BRD-K95837862-300-01-7;BRD:BRD-K95837862-300-01-7,rep_primary;rep_single_dose,OPIOID RECEPTOR ANTAGONIST,OPRK1,,,PHASE 1,,Small molecule,Phase 1,ZLVXBBHTMQJRSX-VMGNSXQWSA-N,CC(C)[C@@H](CN1CC[C@](C)([C@@H](C)C1)C1CCCC(O)C1)NC(=O)[C@H]1CC2CCC(O)CC2CN1;CC(C)[C@@H](CN1CC[C@@](C)(C2CCCC(O)C2)[C@@H](C)C1)NC(=O)[C@H]1CC2CCC(O)CC2CN1
JHW-007,JHW-007,,BRD:BRD-K32892871-003-02-9,rep_single_dose,DOPAMINE REUPTAKE INHIBITOR,SLC6A3,,,,,,NA,,
JI-101,JI-101,CHEMBL3545155,BRD:BRD-K00003209-001-01-9,rep_single_dose,KINASE INHIBITOR,,,,,,Small molecule,Phase 2,ZXBFYBLSJMEBEP-UHFFFAOYSA-N,COC1CCC(BR)CC1NC(=O)NC1CCCC2C1CCN2CC1CCNC(N)C1
JIB04,JIB04,,BRD:BRD-BRD-K76180386-001-01-6;BRD:BRD-K76180386-001-01-6,rep_multi_dose;rep_primary;rep_single_dose,HISTONE LYSINE DEMETHYLASE INHIBITOR,KDM4E,,,PRECLINICAL,,,NA,,CLC1CCC(N\N=C(/C2CCCCC2)C2CCCCN2)NC1
JK-184,JK-184,,BRD:BRD-BRD-K38860038-001-01-2;BRD:BRD-K38860038-001-01-2,rep_multi_dose;rep_primary;rep_single_dose,HEDGEHOG PATHWAY INHIBITOR,,,,PRECLINICAL,,,NA,,CCOC1CCC(NC2NC(CS2)-C2C(C)NC3CCCCN23)CC1
JNJ-10191584,JNJ-10191584,,BRD:BRD-BRD-K15086322-050-01-3;BRD:BRD-K15086322-050-01-3,rep_primary;rep_single_dose,HISTAMINE RECEPTOR ANTAGONIST,HRH4,,,PRECLINICAL,,,NA,,CN1CCN(CC1)C(=O)C1NC2CCC(CL)CC2[NH]1
JNJ-10397049,JNJ-10397049,,BRD:BRD-K61721596-001-01-0,rep_single_dose,OREXIN RECEPTOR ANTAGONIST,HCRTR1;HCRTR2,,,,,,NA,,
JNJ-16259685,JNJ-16259685,,BRD:BRD-BRD-K25596805-001-01-8;BRD:BRD-K25596805-001-01-8,rep_multi_dose;rep_primary;rep_single_dose,GLUTAMATE RECEPTOR ANTAGONIST,GRM1,,,PRECLINICAL,,,NA,,CO[C@H]1CC[C@H](CC1)C(=O)C1CCC2NC3OCCCC3CC2C1
JNJ-1661010,JNJ-1661010,,BRD:BRD-BRD-K47376733-001-08-1;BRD:BRD-K47376733-001-08-1,rep_primary;rep_single_dose,FAAH INHIBITOR,FAAH,,,PRECLINICAL,,,NA,,O=C(NC1CCCCC1)N1CCN(CC1)C1NC(NS1)-C1CCCCC1
JNJ-17203212,JNJ-17203212,,BRD:BRD-BRD-K51770398-001-01-9;BRD:BRD-K51770398-001-01-9,rep_primary;rep_single_dose,TRPV ANTAGONIST,TRPV1,,,PRECLINICAL,,,NA,,FC(F)(F)C1CCC(NC(=O)N2CCN(CC2)C2NCCCC2C(F)(F)F)NC1
JNJ-26481585,JNJ-26481585,CHEMBL2105763;CHEMBL3039527,BRD:BRD-BRD-K83837640-001-04-8;BRD:BRD-K83837640-001-04-8,rep_multi_dose;rep_primary;rep_single_dose,HDAC INHIBITOR,HDAC1;HDAC10;HDAC11;HDAC2;HDAC3;HDAC4;HDAC5;HDAC6;HDAC7;HDAC8;HDAC9;MDM2,,,PHASE 2,,Small molecule,Phase 2,PAWIYAYFNXQGAP-UHFFFAOYSA-N;TWNOICNTTFKOHQ-UHFFFAOYSA-N,CL.CN1CC(CNCC2CCN(C3NCC(C(=O)NO)CN3)CC2)C2CCCCC21;CN1CC(CNCC2CCN(C3NCC(C(=O)NO)CN3)CC2)C2CCCCC21;CN1CC(CNCC2CCN(CC2)C2NCC(CN2)C(=O)NO)C2CCCCC12
JNJ-26854165,JNJ-26854165,CHEMBL2137530,GDSC1:1133,gdsc,,,,,,,Small molecule,Phase 1,CEGSUKYESLWKJP-UHFFFAOYSA-N,C1CCC2C(CCNC3CCC(NC4CCNCC4)CC3)C[NH]C2C1
JNJ-26990990,JNJ-26990990,,BRD:BRD-BRD-K24864897-001-01-0;BRD:BRD-K24864897-001-01-0,rep_primary;rep_single_dose,ANTICONVULSANT,,,,PHASE 2,,,NA,,NS(=O)(=O)NCC1CSC2CCCCC12
JNJ-27141491,JNJ-27141491,,BRD:BRD-K41895652-001-02-9,rep_single_dose,CC CHEMOKINE RECEPTOR ANTAGONIST,CCR2,,,,,,NA,,
JNJ-37822681,JNJ-37822681,CHEMBL3234237,BRD:BRD-BRD-K31802667-001-01-9;BRD:BRD-K31802667-001-01-9,rep_primary;rep_single_dose,DOPAMINE RECEPTOR ANTAGONIST,DRD2,,,PHASE 2,,Small molecule,Phase 2,UVUYWJWYRLJHEN-UHFFFAOYSA-N,FC1CCC(CN2CCC(CC2)NC2CCC(NN2)C(F)(F)F)CC1F;FC1CCC(CN2CCC(NC3CCC(C(F)(F)F)NN3)CC2)CC1F
JNJ-38877605,JNJ-38877605,CHEMBL2133806,BRD:BRD-BRD-K02123250-001-06-7;BRD:BRD-K02123250-001-06-7,rep_primary;rep_single_dose,TYROSINE KINASE INHIBITOR,MET,,,PHASE 1,,Small molecule,Phase 1,JRWCBEOAFGHNNU-UHFFFAOYSA-N,CN1CC(-C2CCC3NNC(C(F)(F)C4CCC5NCCCC5C4)N3N2)CN1;CN1CC(CN1)-C1CCC2NNC(N2N1)C(F)(F)C1CCC2NCCCC2C1
JNJ-38877618,JNJ-38877618,CHEMBL5095255,BRD:BRD-K00003094-001-01-9,rep_single_dose,C-MET INHIBITOR,,,,,,Small molecule,Phase 1,KOAWAWHSMVKCON-UHFFFAOYSA-N,FC(F)(C1CCC2NCCCC2C1)C1NNC2CCC(-C3CCNCC3)NN12
JNJ-39758979,JNJ-39758979,CHEMBL3236549,BRD:BRD-K00003403-001-01-9,rep_single_dose,HISTAMINE RECEPTOR ANTAGONIST,,,,,,Small molecule,Phase 2,COOGVHJHSCBOQT-MRVPVSSYSA-N,CC(C)C1CC(N2CC[C@@H](N)C2)NC(N)N1
JNJ-40411813,JNJ-40411813,CHEMBL3337527,BRD:BRD-BRD-K55029398-001-01-6;BRD:BRD-K55029398-001-01-6,rep_primary;rep_single_dose,GLUTAMATE RECEPTOR POSITIVE ALLOSTERIC MODULATOR,GRM2,,,PHASE 2,,Small molecule,Phase 2,HYOGJHCDLQSAHX-UHFFFAOYSA-N,CCCCN1CCC(N2CCC(C3CCCCC3)CC2)C(CL)C1=O;CCCCN1CCC(N2CCC(CC2)C2CCCCC2)C(CL)C1=O
JNJ-42041935,JNJ-42041935,,BRD:BRD-BRD-K01036220-001-01-0;BRD:BRD-K01036220-001-01-0,rep_primary;rep_single_dose,HYPOXIA INDUCIBLE FACTOR PROLYL HYDROXYLASE INHIBITOR,PDK2,,,PRECLINICAL,,,NA,,OC(=O)C1CNN(C1)-C1NC2CC(CL)C(OC(F)(F)F)CC2[NH]1
JNJ-42165279,JNJ-42165279,CHEMBL4297294,BRD:BRD-BRD-K70330032-001-01-1;BRD:BRD-K70330032-001-01-1,rep_primary;rep_single_dose,FAAH INHIBITOR,FAAH,,,PHASE 2,,Small molecule,Phase 2,YWGYNGCRVZLMCS-UHFFFAOYSA-N,FC1(F)OC2CCC(CN3CCN(CC3)C(=O)NC3CNCCC3CL)CC2O1;O=C(NC1CNCCC1CL)N1CCN(CC2CCC3C(C2)OC(F)(F)O3)CC1
JNJ-47965567,JNJ-47965567,,BRD:BRD-K83547600-001-02-9,rep_single_dose,PURINERGIC RECEPTOR ANTAGONIST,P2RX7,,,,,,NA,,
JNJ-5207852,JNJ-5207852,CHEMBL129542,BRD:BRD-K27889527-001-10-9,rep_single_dose,,,,,,,Small molecule,NA,PTKHFRNHJULJKT-UHFFFAOYSA-N,C1CC(OCCCN2CCCCC2)CCC1CN1CCCCC1
JNJ-54175446,JNJ-54175446,CHEMBL4079239,BRD:BRD-K00004575-001-01-9,rep_single_dose,PURINERGIC RECEPTOR ANTAGONIST,,,,,,Small molecule,Phase 2,CWFVVQFVGMFTBD-SECBINFHSA-N,C[C@@H]1C2NNN(-C3NCC(F)CN3)C2CCN1C(=O)C1CCCC(C(F)(F)F)C1CL
JNJ-63533054,JNJ-63533054,,BRD:BRD-BRD-K19482962-001-01-8;BRD:BRD-K19482962-001-01-8,rep_primary;rep_single_dose,G PROTEIN-COUPLED RECEPTOR AGONIST,GPR139,,,PRECLINICAL,,,NA,,C[C@H](NC(=O)CNC(=O)C1CCCC(CL)C1)C1CCCCC1
JNJ-64619178,JNJ-64619178,CHEMBL4249337,BRD:BRD-K30421675-001-04-9,rep_single_dose,PROTEIN ARGININE N-METHYLTRANSFERASE INHIBITOR,,,,,,Small molecule,Phase 1,DBSMLQTUDJVICQ-CJODITQLSA-N,NC1NC2CC(CC[C@H]3C[C@@H](N4CCC5C(N)NCNC54)[C@H](O)[C@@H]3O)CCC2CC1BR
JNJ-678,JNJ-678,,BRD:BRD-K00004600-001-01-9,rep_single_dose,RSV FUSION INHIBITOR,,,,,,,NA,,
JNJ-7706621,JNJ-7706621,CHEMBL191003,BRD:BRD-BRD-K11636097-001-03-1;BRD:BRD-K11636097-001-03-1,rep_multi_dose;rep_primary;rep_single_dose,CDK INHIBITOR,AURKA;AURKB;CDK1;CDK2,,,PRECLINICAL,,Small molecule,NA,KDKUVYLMPJIGKA-UHFFFAOYSA-N,NC1NC(NC2CCC(CC2)S(N)(=O)=O)NN1C(=O)C1C(F)CCCC1F;NC1NC(NC2CCC(S(N)(=O)=O)CC2)NN1C(=O)C1C(F)CCCC1F
JNJ-7777120,JNJ-7777120,CHEMBL129198,BRD:BRD-BRD-K17774839-001-02-9;BRD:BRD-K17774839-001-02-9,rep_primary;rep_single_dose,HISTAMINE RECEPTOR ANTAGONIST,HRH4,,,PRECLINICAL,,Small molecule,NA,HUQJRYMLJBBEDO-UHFFFAOYSA-N,CN1CCN(C(=O)C2CC3CC(CL)CCC3[NH]2)CC1;CN1CCN(CC1)C(=O)C1CC2CC(CL)CCC2[NH]1
JNJ38877605,JNJ38877605,,GDSC1:284,gdsc,,,,,,,,NA,,
JNK INHIBITOR 9L,JNK INHIBITOR 9L,,GDSC1:157,gdsc,,,,,,,,NA,,
JNK INHIBITOR VIII,JNK INHIBITOR VIII,,GDSC1:1043,gdsc,,,,,,,,NA,,
JNK-9L,JNK-9L,,GDSC1:157,gdsc,,,,,,,,NA,,
JOSAMYCIN,JOSAMYCIN,CHEMBL224436,BRD:BRD-BRD-K25837718-001-03-8;BRD:BRD-K25837718-001-03-8,rep_multi_dose;rep_primary;rep_single_dose,BACTERIAL 50S RIBOSOMAL SUBUNIT INHIBITOR,,BRONCHITIS,,LAUNCHED,,Small molecule,Phase 3,XJSFLOJWULLJQS-NGVXBBESSA-N,CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1OC(C)=O;CO[C@H]1[C@@H](CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC(=O)CC(C)C)[C@@H](O)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C)OC(C)=O
JPH203,JPH203,,BRD:BRD-K00003340-300-01-9,rep_single_dose,SOLUTE CARRIER FAMILY MEMBER INHIBITOR,,,,,,,NA,,
JQ-1,JQ-1,,CTRP:616354;GDSC1:1218;GDSC1:163;GDSC2:2172,ctrp;gdsc,,,,,,,,NA,,
JQ-1:CARBOPLATIN (1:1 MOL/MOL),JQ-1:CARBOPLATIN (1:1 MOL/MOL),,CTRP:660247,ctrp,,,,,,,,NA,,
JQ-1:MK-0752 (1:1 MOL/MOL),JQ-1:MK-0752 (1:1 MOL/MOL),,CTRP:660253,ctrp,,,,,,,,NA,,
JQ-1:NAVITOCLAX (2:1 MOL/MOL),JQ-1:NAVITOCLAX (2:1 MOL/MOL),,CTRP:660252,ctrp,,,,,,,,NA,,
JQ-1:UNC0638 (2:1 MOL/MOL),JQ-1:UNC0638 (2:1 MOL/MOL),,CTRP:660129,ctrp,,,,,,,,NA,,
JQ-1:VORINOSTAT (2:1 MOL/MOL),JQ-1:VORINOSTAT (2:1 MOL/MOL),,CTRP:660823,ctrp,,,,,,,,NA,,
JQ1,JQ1,,GDSC1:1218;GDSC1:163;GDSC2:2172,gdsc,,,,,,,,NA,,
JQ1-(+),JQ1-(+),,BRD:BRD-BRD-K54606188-001-13-1;BRD:BRD-K54606188-001-13-1,rep_multi_dose;rep_primary;rep_single_dose,BROMODOMAIN INHIBITOR,BRD4;BRDT,,,PRECLINICAL,,,NA,,CC1SC-2C(C1C)C(=N[C@@H](CC(=O)OC(C)(C)C)C1NNC(C)N-21)C1CCC(CL)CC1
JQ12,JQ12,,GDSC1:164,gdsc,,,,,,,,NA,,
JTC-801,JTC-801,,BRD:BRD-BRD-K17705806-003-04-4;BRD:BRD-K17705806-003-04-4,rep_multi_dose;rep_primary;rep_single_dose,OPIOID RECEPTOR ANTAGONIST,OPRL1,,,PHASE 2,,,NA,,CCC1CCC(OCC2CCCCC2C(=O)NC2CCC3NC(C)CC(N)C3C2)CC1
JTE-013,JTE-013,,BRD:BRD-K43330982-001-04-9,rep_single_dose,LYSOPHOSPHOLIPID RECEPTOR ANTAGONIST,P2RY10;S1PR2,,,,,,NA,,
JTE-607,JTE-607,,BRD:BRD-BRD-K81405859-300-01-4;BRD:BRD-K81405859-300-01-4,rep_multi_dose;rep_primary;rep_single_dose,CYTOKINE PRODUCTION INHIBITOR,IL10;IL1B;IL6;TNF,,,PHASE 2,,,NA,,CCOC(=O)[C@H](CC1CCCCC1)NC(=O)C1CC(CL)C(OCCN2CCN(C)CC2)C(CL)C1O
JTE-907,JTE-907,,BRD:BRD-BRD-K63150726-001-02-1;BRD:BRD-K63150726-001-02-1,rep_primary;rep_single_dose,CANNABINOID RECEPTOR INVERSE AGONIST,CNR2,,,PHASE 1,,,NA,,CCCCCOC1C(OC)CCC2CC(C(=O)NCC3CCC4OCOC4C3)C(=O)[NH]C12
JW-480,JW-480,,CTRP:660227,ctrp,,,,,,,,NA,,
JW-55,JW-55,,BRD:BRD-BRD-K53328210-001-04-4;BRD:BRD-K53328210-001-04-4;CTRP:682993,ctrp;rep_primary;rep_single_dose,TANKYRASE INHIBITOR,TNKS;TNKS2,,,PRECLINICAL,,,NA,,COC1CCC(CC1)C1(CNC(=O)C2CCC(NC(=O)C3CCCO3)CC2)CCOCC1
JW-642,JW-642,,BRD:BRD-K48424871-001-04-9,rep_single_dose,MONOACYLGLYCEROL LIPASE INHIBITOR,MGLL,,,,,,NA,,
JW-67,JW-67,,BRD:BRD-BRD-K24554037-001-08-3;BRD:BRD-K24554037-001-08-3,rep_primary;rep_single_dose,WNT PATHWAY INHIBITOR,APC;AXIN1;GSK3B,,,PRECLINICAL,,,NA,,O=C1NC2CCCCC2C11OCC2(CO1)COC1(OC2)C(=O)NC2CCCCC12
JW-7-24-1,JW-7-24-1,,GDSC1:256,gdsc,,,,,,,,NA,,
JW-7-52-1,JW-7-52-1,,GDSC1:83,gdsc,,,,,,,,NA,,
JW-74,JW-74,,BRD:BRD-BRD-K75664313-001-02-6;BRD:BRD-K75664313-001-02-6;CTRP:676728,ctrp;rep_primary;rep_single_dose,"TANKYRASE INHIBITOR, WNT SIGNALING INHIBITOR",TNKS;TNKS2,,,PRECLINICAL,"Multiple values for MOA: {'WNT SIGNALING INHIBITOR, TANKYRASE INHIBITOR', 'TANKYRASE INHIBITOR, WNT SIGNALING INHIBITOR'}, defaulting to 'TANKYRASE INHIBITOR, WNT SIGNALING INHIBITOR'",,NA,,COC1CCC(CC1)-N1C(SCC2NC(NO2)-C2CCC(C)CC2)NNC1-C1CCNCC1
JWZ-5-13,JWZ-5-13,,BRD:BRD-U00115420-001-01-9,oncref_1,VHL-BASED DEGRADER OF CDK7,CDK7,,,,,,NA,,
JX-401,JX-401,,BRD:BRD-BRD-K05464208-001-05-7;BRD:BRD-K05464208-001-05-7,rep_primary;rep_single_dose,P38 MAPK INHIBITOR,MAPK14,,,PRECLINICAL,,,NA,,COC1CC(SC)CCC1C(=O)N1CCC(CC2CCCCC2)CC1
JZL-184,JZL-184,,BRD:BRD-BRD-K45446451-001-05-0;BRD:BRD-K45446451-001-05-0,rep_multi_dose;rep_primary;rep_single_dose,MONOACYLGLUCEROL LIPASE INHIBITOR,MGLL,,,PRECLINICAL,,,NA,,OC(C1CCN(CC1)C(=O)OC1CCC(CC1)[N+]([O-])=O)(C1CCC2OCOC2C1)C1CCC2OCOC2C1
JZL-195,JZL-195,,BRD:BRD-BRD-K38875233-001-03-9;BRD:BRD-K38875233-001-03-9,rep_primary;rep_single_dose,"FAAH INHIBITOR, MONOACYLGLYCEROL LIPASE INHIBITOR",FAAH;MGLL,,,PRECLINICAL,,,NA,,[O-][N+](=O)C1CCC(OC(=O)N2CCN(CC3CCCC(OC4CCCCC4)C3)CC2)CC1
K-858,K-858,,BRD:BRD-A67748489-001-10-0;BRD:BRD-BRD-A67748489-001-10-0,rep_multi_dose;rep_primary;rep_single_dose,KINESIN-LIKE SPINDLE PROTEIN INHIBITOR,KIF11,,,PRECLINICAL,,,NA,,CC(=O)NC1=NN(C(C)=O)C(C)(S1)C1CCCCC1
K-MAP,K-MAP,,BRD:BRD-A45906415-001-01-9;BRD:BRD-BRD-A45906415-001-01-9,rep_primary;rep_single_dose,,,,,PHASE 2,,,NA,,OCC1OC(NC2CCC(CC2)C(O)=O)C(O)C(O)C1O
K-RAS(G12C)-INHIBITOR-12,K-RAS(G12C)-INHIBITOR-12,,BRD:BRD-K90756851-001-01-1,rep_single_dose,K-RAS INHIBITOR,KRAS,,,,,,NA,,
K-RAS(G12C)-INHIBITOR-6,K-RAS(G12C)-INHIBITOR-6,,BRD:BRD-BRD-K26305185-001-02-1;BRD:BRD-K26305185-001-02-1,rep_multi_dose;rep_primary;rep_single_dose,K-RAS INHIBITOR,,,,PRECLINICAL,,,NA,,SCCCC(=O)NC1CCN(CC1)C(=O)COC1CCC(CL)CC1CL
K-STROPHANTHIDIN,K-STROPHANTHIDIN,,BRD:BRD-A55312468-001-04-7;BRD:BRD-BRD-A55312468-001-04-7,rep_multi_dose;rep_primary;rep_single_dose,ATPASE INHIBITOR,ATP1A1,,,PHASE 2,,,NA,,C[C@]12CCC3C(CC[C@]4(O)C[C@@H](O)CC[C@]34C=O)[C@@]1(O)CCC2C1=CC(=O)OC1
K02288,K02288,,BRD:BRD-BRD-K58568447-001-01-1;BRD:BRD-K58568447-001-01-1,rep_primary;rep_single_dose,BONE MORPHOGENIC PROTEIN INHIBITOR,BMP1,,,PRECLINICAL,,,NA,,COC1CC(CC(OC)C1OC)-C1CC(CNC1N)-C1CCCC(O)C1
K145,K145,,BRD:BRD-K12106308-003-01-9,rep_single_dose,SPHINGOSINE KINASE INHIBITOR,SPHK2,,,,,,NA,,
KAEMPFEROL,KAEMPFEROL,CHEMBL150,BRD:BRD-BRD-K12807006-001-18-5;BRD:BRD-K12807006-001-18-5,rep_primary;rep_single_dose,"BONE RESORPTION INHIBITOR, ESTROGEN-RELATED RECEPTOR INVERSE AGONIST",AKR1B1;ALOX15B;ALOX5;AR;CYP1B1;GLO1;HSD17B1;UGT3A1,,,PRECLINICAL,,Small molecule,NA,IYRMWMYZSQPJKC-UHFFFAOYSA-N,O=C1C(O)C(-C2CCC(O)CC2)OC2CC(O)CC(O)C12;OC1CCC(CC1)-C1OC2CC(O)CC(O)C2C(=O)C1O
KAF-156,KAF-156,CHEMBL2058833,BRD:BRD-K00004578-001-01-9,rep_single_dose,ANTIMALARIAL AGENT,,,,,,Small molecule,Phase 2,BUPRVECGWBHCQV-UHFFFAOYSA-N,CC1(C)C2NC(-C3CCC(F)CC3)C(NC3CCC(F)CC3)N2CCN1C(=O)CN
KAINIC-ACID,KAINIC-ACID,,BRD:BRD-BRD-K52459018-001-09-1;BRD:BRD-K52459018-001-09-1,rep_primary;rep_single_dose,KAINATE RECEPTOR AGONIST,GRIA1;GRIK1;GRIK2;GRIK3;GRIK4;GRIK5,,,PRECLINICAL,,,NA,,CC(=C)[C@H]1CN[C@@H]([C@H]1CC(O)=O)C(O)=O
KAKONEIN,KAKONEIN,CHEMBL486386,BRD:BRD-A07815743-001-01-1;BRD:BRD-BRD-A07815743-001-01-1,rep_primary;rep_single_dose,"GABA RECEPTOR ANTAGONIST, SEROTONIN RECEPTOR ANTAGONIST",,,,PHASE 2,,Small molecule,Phase 2,HKEAFJYKMMKDOR-VPRICQMDSA-N,O=C1C(-C2CCC(O)CC2)COC2C([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(O)CCC12;OCC1OC(C(O)C(O)C1O)C1C(O)CCC2C1OCC(-C1CCC(O)CC1)C2=O
KARENITECIN,KARENITECIN,CHEMBL1743260;CHEMBL1997373,BRD:BRD-K00003176-001-01-9,rep_single_dose,TOPOISOMERASE INHIBITOR,TOP1,,,,,Small molecule,Phase 3,POADTFBBIXOWFJ-VWLOTQADSA-N;SYXGVIWFCCQOEK-VWLOTQADSA-N,CC[C@@]1(O)C(=O)OCC2C1CC1N(C2=O)CC2C-1NC1CCCCC1C2CC[SI](C)(C)C;CC[C@@]1(O)C(=O)OCC2C1CC1N(C2=O)CC2CC3C(CC[SI](C)(C)C)CCCC3NC2-1
KARTOGENIN,KARTOGENIN,,BRD:BRD-K27584835-001-02-9,rep_single_dose,CHONDROCYTE DIFFERENTIATION STIMULATOR,FLNA,,,,,,NA,,
KASUGAMYCIN,KASUGAMYCIN,CHEMBL1631109,BRD:BRD-K91644281-311-02-9,rep_single_dose,BACTERIAL 30S RIBOSOMAL SUBUNIT INHIBITOR,,,,,,Small molecule,NA,PVTHJAPFENJVNC-MHRBZPPQSA-N,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](N)C[C@@H]1NC(=N)C(=O)O
KB NB 142-70,KB NB 142-70,,GDSC1:407,gdsc,,,,,,,,NA,,
KB-0742 (DIHYDROCHLORIDE),KB-0742 (DIHYDROCHLORIDE),,BRD:BRD-K00010521-300-02-9,rep_single_dose,,,,,,,,NA,,
KB-R7943,KB-R7943,,BRD:BRD-BRD-K17743697-066-03-6;BRD:BRD-K17743697-066-03-6,rep_primary;rep_single_dose,SODIUM/CALCIUM EXCHANGE INHIBITOR,SLC8A1;TRPC3;TRPC5;TRPC6,,,PRECLINICAL,,,NA,,NC(=N)SCCC1CCC(OCC2CCC(CC2)[N+]([O-])=O)CC1
KB-SRC-4,KB-SRC-4,,BRD:BRD-BRD-K88154110-001-01-0;BRD:BRD-K88154110-001-01-0,rep_primary;rep_single_dose,SRC INHIBITOR,SRC,,,PRECLINICAL,,,NA,,NC1NCNC2N(NC(-C3CCC(CL)CC3)C12)-C1CCCC(C1)-C1CNNN1CC1CCCC(C1)-C1CCCCC1
KBG,KBG,,BRD:BRD-A00376169-001-01-6;BRD:BRD-BRD-A00376169-001-01-6,rep_primary;rep_single_dose,NEPRILYSIN INHIBITOR,MME,,,PHASE 2,,,NA,,OC1O[C@@H]2COC(O[C@H]2[C@H](O)[C@H]1O)C1CCCCC1
KD-023,KD-023,,BRD:BRD-BRD-K71164191-001-01-0;BRD:BRD-K71164191-001-01-0,rep_multi_dose;rep_primary;rep_single_dose,ACAT INHIBITOR,ACACA;ACACB,,,PHASE 2,,,NA,,CCCCCCCCCCCCCCOC1CCC(O1)C(O)=O
KD025,KD025,CHEMBL2005186,BRD:BRD-BRD-K88506063-001-01-8;BRD:BRD-K88506063-001-01-8,rep_multi_dose;rep_primary;rep_single_dose,RHO ASSOCIATED KINASE INHIBITOR,ROCK2,,,PHASE 2,,Small molecule,Approved,GKHIVNAUVKXIIY-UHFFFAOYSA-N,CC(C)NC(=O)COC1CCCC(-C2NC(NC3CCC4[NH]NCC4C3)C3CCCCC3N2)C1;CC(C)NC(=O)COC1CCCC(C1)-C1NC(NC2CCC3[NH]NCC3C2)C2CCCCC2N1
KENPAULLONE,KENPAULLONE,CHEMBL296586,BRD:BRD-BRD-K37312348-001-15-0;BRD:BRD-K37312348-001-15-0,rep_multi_dose;rep_primary;rep_single_dose,"CDK INHIBITOR, GLYCOGEN SYNTHASE KINASE INHIBITOR",CCNB1;CDK1;CDK5;GSK3B,,,PRECLINICAL,,Small molecule,NA,QQUXFYAWXPMDOE-UHFFFAOYSA-N,BRC1CCC2[NH]C-3C(CC(=O)NC4CCCCC-34)C2C1;O=C1CC2C([NH]C3CCC(BR)CC23)-C2CCCCC2N1
KESSAR,KESSAR,CHEMBL786,GDSC1:1199;GDSC2:1199,gdsc,,,,,,,Small molecule,Approved,FQZYTYWMLGAPFJ-OQKDUQJOSA-N,CC/C(=C(\C1CCCCC1)C1CCC(OCCN(C)C)CC1)C1CCCCC1.O=C(O)CC(O)(CC(=O)O)C(=O)O
KETANSERIN,KETANSERIN,CHEMBL51,BRD:BRD-BRD-K49671696-045-08-5;BRD:BRD-K49671696-045-08-5,rep_primary;rep_single_dose,SEROTONIN RECEPTOR ANTAGONIST,ADRA1A;ADRA1B;ADRA1D;DRD1;DRD5;HTR1A;HTR1B;HTR1D;HTR2A;HTR2B;HTR2C;HTR5A;HTR7;SLC18A1;SLC18A2,HYPERTENSION,,LAUNCHED,,Small molecule,Approved,FPCCSQOGAWCVBH-UHFFFAOYSA-N,FC1CCC(CC1)C(=O)C1CCN(CCN2C(=O)[NH]C3CCCCC3C2=O)CC1;O=C(C1CCC(F)CC1)C1CCN(CCN2C(=O)[NH]C3CCCCC3C2=O)CC1
